question_id,model,P@1,P@3,P@5,P@10,Recall@1,Recall@3,Recall@5,Recall@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MAP
q1,bgem3,0.8588946600397804,0.8143534429150331,0.5920984374582373,0.37826437664895396,0.16172484787357488,0.40065158634288695,0.5184962910871403,0.6030251758767862,0.9502748103479967,0.9540137578868818,0.8889369077343237,0.9930753399738533,0.9224878710990003,0.955157670646563
q2,bgem3,0.8818591591682184,0.7848745011100902,0.5656442449412266,0.31320216908279297,0.18768157303094635,0.39713725334592753,0.5673890458282982,0.6431701753241877,0.9658236709010882,0.841580429896739,0.929210652516433,0.995218327378689,0.9486009315019232,0.8895689357178608
q3,bgem3,0.9083436606595188,0.7403493250638435,0.5796573511979419,0.25714722881985436,0.1990920862635003,0.45651553049573135,0.5518255112816467,0.5848412328723873,0.909711167805205,0.8834579606869835,0.9358494509391726,0.9066672548661376,0.9688725342356818,0.9037849980683588
q4,bgem3,0.8388140766561324,0.7519872602385097,0.5596213551628172,0.3272314034655689,0.1511706016705128,0.3975541424545277,0.5022844990887085,0.5780826324046178,0.9287985038190604,0.8734289455757946,0.8617181037805454,0.9656433403634234,0.9680255499378378,0.8843192599200238
q5,bgem3,0.9392135516004543,0.7874125754069083,0.5876182028155802,0.3084772836715251,0.16300515568056098,0.40462388371450586,0.5679473339012583,0.6024326506364147,0.8958101287031878,0.8762522285269602,0.9087443442802446,1.0,0.9966849610027816,0.9093317909385985
q6,bgem3,0.9069789309707081,0.743441079423677,0.641902554552343,0.3220367927656092,0.12592191392411745,0.37156228610010084,0.5249714065481406,0.5812380289725216,0.9565331985486323,0.9036124336562069,0.9024477254397738,0.9608554649025853,0.9322803406646496,0.8785456958820248
q7,bgem3,0.8414686153402046,0.7238510816075627,0.621888773633133,0.29138765824671015,0.12205272569933955,0.42372153656207934,0.5464248106850328,0.5340654254672271,0.8953036661836966,0.9039089857026571,0.9814867063788375,0.9821066567624865,1.0,0.8968342084325077
q8,bgem3,0.82733034598131,0.7859745219345726,0.5477739528256941,0.32103723591634087,0.14501382613043134,0.38060869030962735,0.5359921631121506,0.6142815636475213,0.9337191979463244,0.8941976872431813,0.9259824531549342,0.9943901491689993,0.9857936172385547,0.9516802029584881
q9,bgem3,0.8732231527099472,0.7473540792548192,0.5383020935110623,0.26571316699637054,0.202670965451374,0.40499559608044666,0.5315301730865116,0.6000273551675043,0.9299537952212601,0.8790836128594867,0.9448186951035439,1.0,0.9149415641150244,0.8895818291356882
q10,bgem3,0.8369639073896158,0.7384384901530809,0.5241767862242065,0.2908695457657919,0.20484500820740031,0.3526744187988644,0.507937901293544,0.5959555020224666,0.9301464801093304,0.9210923359363771,0.9088794905845436,0.9840688843637009,0.9659036300932111,0.933634038615374
